sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B00N8IS382"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00N8IS3FK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00N8IS6FM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00N8IS6GQ"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00N8ISF8U"	"79.64"	"69.64"	"89.64"	"1"	"5"
"B00NA7MGES"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00ND7KRZU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NE5Q9JO"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NF20ABE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NF4HADI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NFU8LI0"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00NGUJUSE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00NI2ULJW"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B00NNOTPCE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NNOVWLQ"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00NNVHRQI"	"186.70"	"176.70"	"196.70"	"1"	"5"
"B00NSBDURS"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00NSLRFOW"	"435.90"	"425.90"	"445.90"	"1"	"5"
"B00NTMB3K2"	"96.94"	"86.94"	"106.94"	"0"	"5"
"B00O1X862Q"	"273.84"	"263.84"	"283.84"	"1"	"5"
"B00O5217UG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O5CBPDU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O68NG58"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O83F8WU"	"179.62"	"169.62"	"189.62"	"1"	"5"
"B00OBCWJN4"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00OD49YSI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00OEA4IOQ"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00OFKKIMQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00OFKLB5Y"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00OH6F274"	"89.30"	"79.30"	"99.30"	"1"	"5"
"B00OKXRX8U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00ON1H4Y2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00OP2188C"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00OPCMIU4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00OQW86PO"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00OTW8GYM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00P00BXJW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00P00BXLU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00P3RY9NO"	"251.84"	"241.84"	"261.84"	"1"	"5"
"B00PA38KK4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00PB09V8Q"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00PCROACA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00PDCZHDU"	"1190.00"	"1180.00"	"1200.00"	"1"	"5"
"B00PFKR3HI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00PKL1P12"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00PKL1R4M"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00PKL23N6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00PWCOWUK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00PYL9YOI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00Q5H3LOE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00Q6QVVHS"	"126.12"	"116.12"	"136.12"	"0"	"5"
"B00Q9XG6FA"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00QAZ16DO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00QEFYYFW"	"130.00"	"120.00"	"140.00"	"0"	"5"
"B00QETA2EA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00QGLFIZO"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00QKLK5C6"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00QKLKIGE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00QPNULY6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00QQ1TD5K"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B00QQCVCX0"	"79.78"	"69.78"	"89.78"	"1"	"5"
"B00QU77ARS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00QY1KPRW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00QY1XZ4W"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00R119QEM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00RG28C6O"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00RGDYXCU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00RGDZ0E0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00RJPX6BE"	"74.54"	"64.54"	"84.54"	"1"	"5"
"B00RJPXA6U"	"332.82"	"322.82"	"342.82"	"1"	"5"
"B00RK5BQNS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00RMI7UWO"	"71.48"	"61.48"	"81.48"	"1"	"5"
"B00RN9PO5W"	"391.98"	"381.98"	"401.98"	"1"	"5"
"B00RVQ8ZT4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00RVQ975U"	"49.99"	"39.99"	"59.99"	"1"	"5"
