sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B002DGOJ0Q"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002DVTMLM"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B002DY9KB6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002DY9KBG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002DY9KBQ"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B002DY9KD4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002DY9KDE"	"70.46"	"60.46"	"80.46"	"1"	"5"
"B002DYGREY"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B002DYIF1C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002DZMC0G"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002E1SBWM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002E277OO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002E7CKVY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002EB0W9W"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002EBY5UY"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002EC08S6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002EJ2A4E"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002EJ3K2U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002ELPZ80"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002ENSFUI"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B002EPYDRU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002ESXHCE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002ET2ZG2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002EWD03G"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002EWD05E"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002F55U5I"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002F7OV9M"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002F7Y2BE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002F87WFG"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B002F87WGK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002F8HZNK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002F8JAJW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002FGULSS"	"77.98"	"67.98"	"87.98"	"1"	"5"
"B002FUI4LK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002FUI4M4"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002FXNVUQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002G75GRW"	"199.98"	"189.98"	"209.98"	"0"	"5"
"B002GBQT7Y"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002GCHREM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002GHHJP4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GHHJQ8"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002GHZ9OW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GJEQDA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GKBLY6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GNWUIY"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002GNWUJ8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GNZYGO"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B002GNZZ0O"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GO5Q7U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002GTWHG8"	"129.18"	"119.18"	"139.18"	"1"	"5"
"B002GUCLG8"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B002GWUE6A"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002H7MQJM"	"139.78"	"129.78"	"149.78"	"1"	"5"
"B002H7XYNY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002H9GKA6"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002HKJFCA"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002HLXJ4E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002HN7WAY"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002HNI4CY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002HNP29W"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002HR3TY8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002HSICNA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002HWPJ3C"	"79.90"	"69.90"	"89.90"	"1"	"5"
"B002I08ZTI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002I092MM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002I0EGRS"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002I0EOSE"	"73.96"	"63.96"	"83.96"	"1"	"5"
"B002I0JK38"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002I0KQ0O"	"49.99"	"39.99"	"59.99"	"0"	"5"
